,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
57,2020 Hyundai Venue S BSIV,2020,Petrol,"9,888 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.80 Lakh
58,2017 Datsun RediGO 1.0 S,2017,Petrol,"79,174 Kms",999 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.38 Lakh
59,2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,Petrol,"73,692 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.48 Lakh
60,2015 Maruti Swift Dzire VXI,2015,Petrol,"67,957 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.50 Lakh
61,2017 Tata Nexon 1.2 Revotron XT,2017,Petrol,"41,701 Kms",1198 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.90 Lakh
62,2021 Maruti SX4 S Cross Zeta,2021,Petrol,"16,124 Kms",1462 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.92 Lakh
63,2017 Hyundai i20 Active 1.2 SX,2017,Petrol,"83,903 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.99 Lakh
64,2018 Maruti Wagon R LXI BS IV,2018,Petrol,"19,697 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.37 Lakh
65,2014 Hyundai Grand i10 Magna,2014,Petrol,"28,070 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.90 Lakh
66,2019 Renault Triber RXZ BSIV,2019,Petrol,"10,732 Kms",999 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.08 Lakh
67,2019 Tata Tiago 1.2 Revotron XT,2019,Petrol,"26,880 Kms",1199 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.99 Lakh
68,2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,Petrol,"40,134 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.71 Lakh
69,2016 Volkswagen Ameo 1.2 MPI Comfortline,2016,Petrol,"98,107 Kms",1198 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.74 Lakh
70,2021 Hyundai Santro Asta AMT,2021,Petrol,"5,388 Kms",1086 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.20 Lakh
71,2018 Maruti Alto 800 VXI,2018,Petrol,"41,760 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.07 Lakh
72,2021 Maruti Baleno Zeta,2021,Petrol,"28,923 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.44 Lakh
73,2021 Maruti Ciaz Delta,2021,Petrol,"13,588 Kms",1462 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.93 Lakh
74,2021 Toyota Yaris G,2021,Petrol,"8,025 Kms",1496 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 10.12 Lakh
75,2013 Renault Duster 85PS Diesel RxL Optional,2013,Diesel,"1,19,285 Kms",1461 cc,Second Owner,Manual,Power Steering,None,Heater,Fog Lights Front,-,-,-,-,-,-,-,-,₹ 3.36 Lakh
76,2020 Kia Sonet GTX Plus Turbo iMT,2020,Petrol,"20,612 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 11.60 Lakh
77,2018 Hyundai Grand i10 1.2 Kappa Magna BSIV,2018,Petrol,"32,174 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.60 Lakh
78,2011 Toyota Etios Liva V,2011,Petrol,"61,640 Kms",1197 cc,First Owner,Manual,18.3 kmpl,None,5,-,-,-,-,-,-,-,-,-,₹ 2.43 Lakh
79,2017 Renault KWID 1.0 RXT,2017,Petrol,"76,421 Kms",999 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.50 Lakh
80,2020 Jeep Compass 1.4 Sport Plus,2020,Petrol,"28,433 Kms",1368 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 13.80 Lakh
81,2014 Honda Brio VX,2014,Petrol,"71,247 Kms",1198 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.88 Lakh
82,2016 Hyundai Grand i10 Sportz,2016,Petrol,"51,695 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.08 Lakh
83,2020 MG Hector Sharp Diesel MT,2020,Diesel,"16,009 Kms",1956 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 17.88 Lakh
84,2021 Tata Harrier XZA Plus Dark Edition AT 2020-2022,2021,Diesel,"21,440 Kms",1956 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 20.48 Lakh
85,2020 Hyundai Venue S,2020,Petrol,"34,747 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.90 Lakh
86,2019 Mahindra XUV500 W7 BSIV,2019,Diesel,"94,185 Kms",2179 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 10.90 Lakh
87,2014 Nissan Micra Active XL Petrol,2014,Petrol,"60,634 Kms",1198 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.43 Lakh
88,2017 Maruti Alto 800 LXI,2017,Petrol,"72,476 Kms",796 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.36 Lakh
89,2017 Tata Hexa XT,2017,Diesel,"64,961 Kms",2179 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.78 Lakh
90,2020 Tata Nexon XZ Plus (O),2020,Petrol,"20,480 Kms",1199 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.69 Lakh
91,2017 Maruti Baleno 1.2 Zeta,2017,Petrol,"40,310 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.46 Lakh
92,2020 Hyundai Grand i10 Nios Sportz CRDi,2020,Diesel,"67,701 Kms",1186 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.86 Lakh
93,2019 Maruti Swift AMT VXI,2019,Petrol,"35,919 Kms",1197 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.20 Lakh
94,2021 Datsun GO Plus T Option,2021,Petrol,"9,732 Kms",1198 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.96 Lakh
95,2020 Renault Triber RXZ EASY-R AMT,2020,Petrol,"15,959 Kms",999 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.13 Lakh
96,2019 Renault KWID RXL BSIV,2019,Petrol,"12,023 Kms",799 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.45 Lakh
97,2018 Mahindra Scorpio S7 120,2018,Diesel,"54,664 Kms",2179 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 11.10 Lakh
98,2015 Toyota Innova 2.5 GX (Diesel) 7 Seater,2015,Diesel,"1,30,145 Kms",2494 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.12 Lakh
99,2016 Maruti Alto 800 LXI,2016,Petrol,"64,529 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.38 Lakh
