,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
111,2019 BMW X1 M Sport sDrive 20d,2019,Diesel,"5,729 Kms",1995 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 41.45 Lakh
112,2010 Toyota Fortuner 3.0 Diesel,2010,Diesel,"1,20,000 Kms",2982 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 11.75 Lakh
113,2020 Hyundai Venue SX Plus Turbo DCT,2020,Petrol,"28,000 Kms",998 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 10.65 Lakh
114,2021 Kia Seltos HTX G,2021,Petrol,"9,000 Kms",1497 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 15.50 Lakh
115,2021 Kia Seltos Anniversary Edition IVT,2021,Petrol,"24,000 Kms",1497 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 16.75 Lakh
116,2008 Hyundai i10 Sportz 1.2,2008,Petrol,"23,000 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Fog Lights Front,-,-,-,-,-,-,-,-,₹ 2.80 Lakh
117,2018 Maruti Celerio VXI Optional AMT BSIV,2018,Petrol,"22,000 Kms",998 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.75 Lakh
118,2015 Honda Amaze VX i-Vtech,2015,Petrol,"39,000 Kms",1198 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.15 Lakh
119,2013 Volkswagen Polo 1.2 MPI Comfortline,2013,Petrol,"34,000 Kms",1198 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.75 Lakh
120,2017 Mercedes-Benz GLA Class 200 CDI SPORT,2017,Diesel,"32,000 Kms",2143 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 24.75 Lakh
121,2020 Volkswagen Polo 1.0 TSI Highline Plus,2020,Petrol,"38,000 Kms",999 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.40 Lakh
122,2006 Hyundai Santro Xing XO,2006,Petrol,"1,43,264 Kms",1086 cc,Fourth Owner,Manual,Power Steering,None,Heater,-,-,-,-,-,-,-,-,-,"₹ 96,489"
123,2011 Maruti SX4 ZXI MT BSIV,2011,Petrol,"1,07,621 Kms",1586 cc,Third Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.78 Lakh
124,2017 Renault Duster 85PS Diesel RxZ,2017,Diesel,"90,663 Kms",1461 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.13 Lakh
125,2016 Maruti Swift Dzire VDI,2016,Diesel,"1,03,856 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.63 Lakh
126,2018 Maruti Alto 800 VXI,2018,Petrol,"19,893 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.42 Lakh
127,2022 Tata Punch Accomplished AMT,2022,Petrol,"6,018 Kms",1199 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.92 Lakh
128,2018 Maruti Baleno 1.2 Alpha,2018,Petrol,"28,030 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.93 Lakh
129,2021 Hyundai Grand i10 Nios Magna Corp Edition,2021,Petrol,"16,111 Kms",1197 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.41 Lakh
130,2017 Maruti Celerio VXI AMT BSIV,2017,Petrol,"4,177 Kms",998 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.44 Lakh
131,2011 Hyundai Santro Xing GL Plus,2011,Petrol,"62,116 Kms",1086 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 1.85 Lakh
132,2020 Mahindra XUV300 W6 Diesel,2020,Diesel,"29,143 Kms",1497 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 10 Lakh
133,2019 Kia Seltos GTX Plus,2019,Petrol,"29,830 Kms",1353 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 16.51 Lakh
134,2017 Hyundai Creta 1.6 VTVT AT SX Plus,2017,Petrol,"68,981 Kms",1591 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 11.49 Lakh
135,2019 Maruti Baleno Alpha,2019,Petrol,"22,226 Kms",1197 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.30 Lakh
136,2020 Kia Seltos GTX Plus DCT,2020,Petrol,"38,300 Kms",1353 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 18.34 Lakh
137,2016 Mahindra KUV 100 mFALCON D75 K8,2016,Diesel,"42,129 Kms",1198 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.12 Lakh
138,2013 Renault Duster 110PS Diesel RxL,2013,Diesel,"75,670 Kms",1461 cc,Third Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.88 Lakh
139,2011 Volkswagen Vento Petrol Highline,2011,Petrol,"64,589 Kms",1598 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.75 Lakh
140,2018 Hyundai Santro Sportz BSIV,2018,Petrol,"16,343 Kms",1086 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.52 Lakh
141,2021 Hyundai Tucson GLS Diesel AT,2021,Diesel,"27,430 Kms",1995 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 23.69 Lakh
142,2019 Hyundai Verna VTVT 1.6 AT SX Plus,2019,Petrol,"19,445 Kms",1591 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 11.58 Lakh
143,2018 Mercedes-Benz GLC 220d 4MATIC Sport,2018,Diesel,"22,000 Kms",2143 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 49 Lakh
