,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
67,2012 Honda Brio,Make Year,None,"52,481 Kms",1591 cc,2nd Owner,Automatic,13 kmpl,121.3bhp,151Nm,17,5,,,,,,,,"5,76,000"
68,2012 Skoda New Laura,Make Year,None,"45,407 Kms",2179 cc,2nd Owner,Manual,15.1 kmpl,152.87bhp,360Nm,7,Red,,,,,,,,"3,38,000"
69,2013 Hyundai Grand i10,Make Year,None,"49,929 Kms",1591 cc,1st Owner,Manual,15.29 kmpl,121.3bhp,151Nm,5,White,,,,,,,,"6,00,000"
70,2017 Maruti Baleno,Make Year,None,"42,923 Kms",1497 cc,1st Owner,Manual,20 kmpl,115bhp,300Nm,17,5,,,,,,,,"4,98,000"
71,2016 Hyundai i20,Make Year,None,"77,276 Kms",1582 cc,2nd Owner,Manual,19.67 kmpl,126.2bhp,259.9Nm,16,5,,,,,,,,"3,89,000"
72,2014 Hyundai Verna,Make Year,None,"8,090 Kms",1497 cc,1st Owner,Manual,17.3 kmpl,120.96bhp,300Nm,17,8,,,,,,,,"6,56,000"
73,2014 Renault Duster,Make Year,None,"58,678 Kms",1198 cc,1st Owner,Manual,19.4 kmpl,86.8bhp,109Nm,5,Urban Titanium,,,,,,,,"8,88,000"
74,2017 Maruti Baleno,Make Year,None,"81,588 Kms",1968 cc,1st Owner,Automatic,20 kmpl,138.1bhp,320Nm,16,5,,,,,,,,"10,93,000"
75,2016 Maruti Baleno,Make Year,None,"76,175 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,82bhp,114Nm,5,Grey,,,,,,,,"8,08,000"
76,2016 Hyundai i20,Make Year,None,"53,707 Kms",1197 cc,1st Owner,Manual,21.4 kmpl,83.1bhp,115Nm,16,5,,,,,,,,"10,43,000"
77,2016 Honda City,Make Year,None,"48,461 Kms",1197 cc,2nd Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,Polar White,,,,,,,,"9,23,000"
78,2014 Volkswagen Polo,Make Year,None,"78,938 Kms",1591 cc,1st Owner,Automatic,15.74 kmpl,121.3bhp,154.9Nm,16,5,,,,,,,,"14,41,000"
79,2015 Skoda Rapid,Make Year,None,"62,164 Kms",1461 cc,1st Owner,Manual,20.45 kmpl,83.8bhp,200Nm,16,5,,,,,,,,"2,65,000"
80,2018 Tata Nexon,Make Year,None,"37,057 Kms",1248 cc,2nd Owner,Manual,27.39 kmpl,74bhp,190Nm,16,5,,,,,,,,"4,48,000"
81,2016 Hyundai Creta,Make Year,None,"46,874 Kms",1197 cc,1st Owner,Manual,21.4 kmpl,83.1bhp,115Nm,16,5,,,,,,,,"3,10,000"
82,2015 Honda City,Make Year,None,"98,061 Kms",1197 cc,1st Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,16,5,,,,,,,,"5,94,000"
83,2016 Honda City,Make Year,None,"45,423 Kms",1497 cc,2nd Owner,Manual,17.8 kmpl,117.3bhp,145Nm,15,5,,,,,,,,"5,16,000"
84,2018 Hyundai Verna,Make Year,None,"96,501 Kms",1199 cc,2nd Owner,Manual,22.07 kmpl,73.9bhp,180Nm,15,5,,,,,,,,"5,17,000"
85,2014 Hyundai Verna,Make Year,None,"59,109 Kms",1498 cc,1st Owner,Automatic,21.66 kmpl,103.6bhp,250Nm,15,5,,,,,,,,"5,04,000"
86,2017 Maruti Baleno,Make Year,None,"81,359 Kms",1497 cc,1st Owner,Manual,21.5 kmpl,108.5bhp,260Nm,5,Blue,,,,,,,,"6,41,000"
87,2016 Hyundai i20,Make Year,None,"70,105 Kms",1591 cc,1st Owner,Manual,13 kmpl,121.3bhp,151Nm,17,5,,,,,,,,"5,49,000"
88,2015 Hyundai i20,Make Year,None,"51,493 Kms",1497 cc,1st Owner,Manual,17.4 kmpl,117.3bhp,145Nm,15,5,,,,,,,,"5,35,000"
89,2016 Maruti Wagon R,Make Year,None,"45,426 Kms",1497 cc,1st Owner,Manual,17.8 kmpl,117.3bhp,145Nm,5,White Orchid Pearl,,,,,,,,"6,89,000"
90,2015 Toyota Corolla Altis,Make Year,None,"32,733 Kms",1591 cc,2nd Owner,Manual,17 kmpl,121.3bhp,151Nm,16,5,,,,,,,,"3,37,000"
91,2021 Renault Triber,Make Year,None,"17,526 Kms",1396 cc,1st Owner,Manual,17.43 kmpl,105.5bhp,135.3Nm,15,5,,,,,,,,"5,20,000"
92,2016 Maruti Swift Dzire,Make Year,None,"32,590 Kms",1197 cc,1st Owner,Manual,21.4 kmpl,83.1bhp,115Nm,16,5,,,,,,,,"7,26,000"
93,2016 Maruti Swift,Make Year,None,"46,287 Kms",1197 cc,1st Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,Polar White,,,,,,,,"8,78,000"
94,2021 Mahindra XUV300,Make Year,None,"53,564 Kms",1197 cc,2nd Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,Blue,,,,,,,,"5,91,000"
95,2015 Hyundai i20,Make Year,None,"53,342 Kms",998 cc,1st Owner,Manual,20.51 kmpl,67.04bhp,90Nm,5,Grey,,,,,,,,"6,03,000"
96,2018 Maruti Swift Dzire,Make Year,None,"32,560 Kms",1798 cc,1st Owner,Manual,14.28 kmpl,138.03bhp,173Nm,15,5,,,,,,,,"8,32,000"
97,2018 Hyundai Grand i10,Make Year,None,"10,024 Kms",999 cc,1st Owner,Automatic,18.2 kmpl,71.01bhp,96Nm,7,Blue,,,,,,,,"5,26,000"
98,2013 Hyundai Santro Xing,Make Year,None,"62,789 Kms",1248 cc,2nd Owner,Automatic,26.59 kmpl,74bhp,190Nm,15,5,,,,,,,,"5,73,000"
99,2015 Maruti Wagon R,Make Year,None,"33,054 Kms",1197 cc,1st Owner,Manual,22 kmpl,81.80bhp,113Nm,5,Red,,,,,,,,"5,36,000"
100,2015 Maruti Ciaz,Make Year,None,"9,672 Kms",1497 cc,1st Owner,Automatic,17 kmpl,115bhp,300Nm,R17,5,,,,,,,,"4,85,000"
101,2019 Mahindra XUV500,Make Year,None,"33,389 Kms",1197 cc,1st Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,5,Passion Red,,,,,,,,"3,45,000"
102,2021 Renault Kiger,Make Year,None,"22,305 Kms",1197 cc,1st Owner,Manual,21.21 kmpl,81.80bhp,113Nm,15,5,,,,,,,,"6,91,000"
103,2016 Honda City,Make Year,None,"15,757 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,81.86bhp,113.75nm,5,Grey,,,,,,,,"6,93,000"
104,2017 Hyundai i20,Make Year,None,"62,207 Kms",1086 cc,1st Owner,Manual,1086 CC,96.1Nm,13,5,White,,,,,,,,"6,21,000"
105,2018 Mahindra Marazzo,Make Year,None,"39,346 Kms",998 cc,1st Owner,Manual,20.51 kmpl,67.04bhp,90Nm,5,Glistening Grey,,,,,,,,"4,89,000"
106,2016 Honda Jazz,Make Year,None,"50,398 Kms",1373 cc,1st Owner,Manual,20.73 kmpl,91.1bhp,130Nm,16,5,,,,,,,,"12,09,000"
107,2016 Maruti Baleno,Make Year,None,"52,652 Kms",2179 cc,1st Owner,Manual,15.1 kmpl,152.87bhp,360Nm,7,White,,,,,,,,"5,23,000"
108,2016 Honda Jazz,Make Year,None,"12,320 Kms",999 cc,1st Owner,Manual,19.17 kmpl,71.01bhp,96Nm,5,Grey,,,,,,,,"6,70,000"
109,2021 Renault KWID,Make Year,None,"46,213 Kms",1497 cc,1st Owner,Manual,17.8 kmpl,117.3bhp,145Nm,15,5,,,,,,,,"5,54,000"
110,2021 Mahindra Scorpio,Make Year,None,"48,287 Kms",1197 cc,2nd Owner,Manual,18.6 kmpl,81.83bhp,114.7Nm,16,5,,,,,,,,"2,03,000"
111,2017 Hyundai Creta,Make Year,None,"29,594 Kms",1497 cc,1st Owner,Manual,17.3 kmpl,121bhp,300Nm,7,Red,,,,,,,,"3,49,000"
112,2015 Hyundai i20,Make Year,None,"57,080 Kms",1199 cc,1st Owner,Automatic,19 kmpl,88.7bhp,110Nm,15,5,,,,,,,,"6,03,000"
113,2015 Hyundai Grand i10,Make Year,None,"54,166 Kms",1197 cc,1st Owner,Automatic,21.4 kmpl,83.1bhp,115Nm,16,5,,,,,,,,"11,66,000"
114,2018 Datsun RediGO,Make Year,None,"15,599 Kms",1199 cc,1st Owner,Manual,18.7 kmpl,88.7bhp,110Nm,15,5,,,,,,,,"6,12,000"
115,2015 Honda City,Make Year,None,"9,562 Kms",799 cc,2nd Owner,Manual,25.17 kmpl,53.3bhp,72Nm,5,Red,,,,,,,,"6,83,000"
116,2018 Toyota Yaris,Make Year,None,"25,545 Kms",2179 cc,1st Owner,Manual,15.4 kmpl,136.78bhp,319Nm,R17,7,,,,,,,,"5,93,000"
117,2016 Skoda Rapid,Make Year,None,"23,824 Kms",1591 cc,1st Owner,Manual,13 kmpl,121.3bhp,151Nm,17,5,,,,,,,,"8,73,000"
118,2016 Hyundai Verna,Make Year,None,"67,288 Kms",1197 cc,1st Owner,MH46,18.6 kmpl,81.83bhp,114.7Nm,5,White,,,,,,,,"5,90,000"
119,2018 Hyundai Creta,Make Year,None,"77,273 Kms",1197 cc,1st Owner,Manual,18.9 kmpl,82bhp,114Nm,5,StarDust,,,,,,,,"6,08,000"
