,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
11,2016 Maruti Vitara Brezza ZDi Plus,2016,Diesel,"86,073 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 8.13 Lakh
12,2018 Maruti Ignis 1.2 Zeta BSIV,2018,Petrol,"1,02,222 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 5.18 Lakh
13,2019 Maruti Alto 800 LXI,2019,Petrol,"22,495 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,-,-,-,-,,₹ 3.48 Lakh
14,2019 Mercedes-Benz E-Class Exclusive E 220d,2019,Diesel,"35,000 Kms",1950 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 53 Lakh
15,2021 Mercedes-Benz E-Class Exclusive E 220d,2021,Diesel,"15,000 Kms",1950 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 76 Lakh
16,2022 Mercedes-Benz GLC 220d 4MATIC,2022,Diesel,"6,000 Kms",1950 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 73.50 Lakh
17,2017 Toyota Land Cruiser VX Premium,2017,Diesel,"90,000 Kms",4461 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 1.31 Crore
18,2016 Mercedes-Benz S-Class Maybach S500,2016,Petrol,"6,000 Kms",4663 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 1.30 Crore
19,2019 Volvo XC 90 D5 Momentum,2019,Diesel,"55,000 Kms",1969 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 58 Lakh
20,2014 Renault Duster 85PS Diesel RxL Plus,2014,Diesel,"1,17,652 Kms",1461 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,-,-,-,,₹ 5.06 Lakh
21,2018 Jeep Compass 1.4 Limited Plus BSIV,2018,Petrol,"46,727 Kms",1368 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 16.91 Lakh
22,2017 Maruti Baleno 1.2 Delta,2017,Petrol,"57,394 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 6.08 Lakh
23,2020 Maruti Ignis Alpha,2020,Petrol,"11,445 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 6.90 Lakh
24,2015 Maruti Wagon R VXI BS IV,2015,Petrol,"97,197 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 4.13 Lakh
25,2019 Hyundai Verna VTVT 1.6 SX,2019,Petrol,"21,291 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 9.58 Lakh
26,2017 Maruti Baleno 1.2 Zeta,2017,Petrol,"25,664 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 6.78 Lakh
27,2016 Maruti Swift Dzire VXI,2016,Petrol,"68,281 Kms",1197 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 5.40 Lakh
28,2017 Honda Jazz 1.2 V AT i VTEC,2017,Petrol,"40,161 Kms",1199 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 6.68 Lakh
29,2015 Maruti Swift Dzire VXI,2015,Petrol,"67,749 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 5.33 Lakh
30,2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,Petrol,"23,126 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 5.93 Lakh
31,2015 Nissan Micra Active XV,2015,Petrol,"79,568 Kms",1198 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,-,-,-,,₹ 3.58 Lakh
32,2020 Honda City VX MT,2020,Petrol,"24,688 Kms",1498 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 11.45 Lakh
33,2017 Maruti Baleno 1.2 Zeta,2017,Petrol,"40,526 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 6.28 Lakh
34,2016 Hyundai Grand i10 Asta,2016,Petrol,"65,786 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 5.23 Lakh
35,2017 Maruti Wagon R VXI BS IV,2017,Petrol,"63,005 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 4.36 Lakh
36,2020 Mahindra Thar LX 4-Str Convert Top Diesel AT,2020,Diesel,"24,779 Kms",2184 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,-,-,-,,₹ 15.95 Lakh
37,2017 Mahindra XUV500 AT W10 FWD,2017,Diesel,"39,445 Kms",2179 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 15.83 Lakh
38,2013 Skoda Rapid 1.6 TDI Ambition Plus,2013,Diesel,"1,03,942 Kms",1598 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 4.13 Lakh
39,2014 Hyundai Verna 1.6 SX,2014,Diesel,"1,07,186 Kms",1582 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 5.43 Lakh
40,2016 Maruti Swift Dzire VXI,2016,Petrol,"48,052 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 5.85 Lakh
41,2016 Honda City i VTEC V,2016,Petrol,"32,125 Kms",1497 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 7.33 Lakh
42,2015 Hyundai i20 Asta 1.4 CRDi,2015,Diesel,"49,979 Kms",1396 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 6.42 Lakh
43,2019 Hyundai Grand i10 1.2 Kappa Asta,2019,Petrol,"32,433 Kms",1197 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 6.05 Lakh
44,2018 Hyundai i20 1.2 Asta,2018,Petrol,"11,116 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 7.50 Lakh
45,2019 Maruti Baleno 1.2 CVT Delta,2019,Petrol,"35,213 Kms",1197 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 7.40 Lakh
46,2015 Hyundai Grand i10 Sportz,2015,Petrol,"60,862 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 4.54 Lakh
47,2021 Datsun RediGO T Option,2021,Petrol,"7,468 Kms",799 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 4.20 Lakh
48,2016 Volkswagen Ameo 1.5 TDI Comfortline,2016,Diesel,"98,696 Kms",1498 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,-,-,,₹ 4.81 Lakh
49,2016 Maruti Alto 800 LXI,2016,Petrol,"51,397 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,-,-,-,-,-,,₹ 2.63 Lakh
50,2015 Maruti Swift VXI,2015,Petrol,"85,816 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,-,-,-,,₹ 4.81 Lakh
51,2020 Renault Triber RXZ EASY-R AMT,2020,Petrol,"28,718 Kms",999 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 7.38 Lakh
52,2015 Hyundai i20 Sportz 1.2,2015,Petrol,"75,454 Kms",1197 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 5.22 Lakh
53,2016 Hyundai i20 Asta 1.2,2016,Petrol,"75,341 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 5.98 Lakh
